name,message,love_count,wow_count,haha_count,sad_count,angry_count
Fox News hits Donald Trump for 'sexist verbal assaults' on Megyn Kelly,"Donald J. Trump referred to Megyn Kelly as 'sick' and 'overrated,' and urged his followers to boycott her show.",124,76,510,40,556
Trump on Romney: 'Are you sure he's a Mormon?',Donald J. Trump pilloried Mitt Romney on his home turf in an appeal to Utah's majority Mormon population.,19,101,261,17,94
What people across the globe think of Donald Trump,"'That's it, that's the end of America.'",26,27,163,57,151
Internet stumped by viral Instagram snap,"Wait though, how many girls are in this photo?",7,39,58,6,13
Video show attack of protester at Trump rally - CNN Video,A Donald J. Trump protester was punched and kicked at a rally in Arizona. Watch: http://cnn.it/1Vr4ywB,71,109,141,291,1094
President Obama touches down in Cuba,Obama is the first sitting U.S. President to visit the island in 88 years.,1156,491,37,12,98
'The Simpsons' predicted a Trump presidency in 2000,"It was somewhat of a throwaway line at the time, but a The Simpsons writer calls it 'a warning to America.'",26,144,145,15,9
Serena Williams slams 'offensive' comments,'I don't think any woman should be down on their knees thanking anybody like that.'Serena Williams is furious about Raymond Moore's comments on women's tennis.,44,13,12,8,172
Apple announces four-inch iPhone SE,"Apple just announced a smaller, four-inch version of the iPhone, called the iPhone SE.",126,41,143,17,28
Bieber's Instagram post hints at reunion,Are Justin Bieber and Selena Gomez back together?,169,55,44,9,182
Donald Trump unveils foreign policy adviser list,Donald J. Trump has revealed a list of at least five foreign policy advisers...,79,19,168,7,40
"CNN/ORC poll: Trump, Clinton remain on top","The poll finds little appetite among Republicans for a convention fight. Nearly half support Donald J. Trump. Hillary Clinton and Bernie Sanders' race for the Democratic nomination also remains fairly steady, according to the poll.",54,6,14,12,123
Indian Wells' tournament director steps down after sexist comments,"Female tennis players should get 'down every night on' their knees to thank some of their male counterparts, he said.",31,76,38,10,265
Bill Clinton: Hillary can 'put the awful legacy of the last eight years behind us',The former President seemingly knocked President Obama's legacy at a campaign speech.,51,145,445,24,646
Mark Zuckerberg visited China's Communist Party propaganda chief,Mark Zuckerberg hasn't mentioned this meeting on his Facebook page.,10,72,20,6,85
"2 explosions at Brussels airport, 1 at subway station; reports of several killed","#Brussels has been hit by deadly explosions. Here's what we know:- Three explosions- At least 23 people killed- Terror threat level in Belgium raised to four, its highest level- All public transport in Brussels has been suspended- Belgian Crisis Center advises 'stay where you are'",12,73,10,1613,843
U.S. cities ramp up security in wake of Brussels attacks,"Both Washington, D.C. and New York City have stepped up security in the wake of the attacks in #Brussels.",12,18,7,314,133
Facebook activates Safety Check after Brussels attacks,"Facebook has activated its Safety Check feature, so people in Brussels can let loved ones know they're okay.",318,18,11,389,21
Brussels under attack: Live updates,"#Brussels attacks– here’s what we know:- Three explosions in Brussels kill at least 30, at least 170 more wounded- Reports: 20 killed in subway station, 10 killed in two blasts at airport - Authorities confirm suicide attack at airport- Airport, public transport closed in BrusselsLive updates: http://cnn.it/22tIoPN",8,45,11,2175,1035
World mourns for Brussels on social media,"As the world awoke to the news of the Brussels attacks, messages of solidarity, shock, and sadness flooded social media, using #JeSuisBruxelles and #OpenHouse.",55,8,7,1310,216
Donald Trump: Brussels 'just the beginning',"'It's going to get worse and worse. In my opinion, this is just the beginning. It will get worse and worse because we are lax and we are foolish,' said Donald J. Trump in the wake of the Brussels attacks.",71,41,29,866,1120
Does Donald Trump know what he's talking about? (via CNN Opinion),"It's no secret why Donald J. Trump doesn't want to do any more debates, writes Tara Setmayer for CNN Opinion.",50,12,405,10,158
"After Brussels attacks, social media users denounce #StopIslam trend","Shortly after the Brussels attacks, the hashtag #StopIslam started to trend, though many users were quick to defend Muslims.",24,22,34,218,179
Belgium terror attacks: What we know,"#Brussels attacks-- here’s what we know:- Three explosions in Brussels killed at least 30 people- #ISIS has claimed responsibility- Belgian authorities released an image of three suspects- Brussels was effectively locked down in the immediate aftermath",18,15,6,1317,435
Cruz: Police need to 'patrol' Muslim neighborhoods,"'We need to empower law enforcement to patrol and secure Muslim neighborhoods before they become radicalized,' said Ted Cruz.",67,104,248,76,1231
Donald Trump: Abdeslam would have talked 'a lot faster with the torture',"'If he would've talked you might not have had the blow up,' Donald J. Trump said.",116,23,31,17,384
Why Obama went to ballgame after Brussels attacks,"In the wake of the #BrusselsAttacks, President Obama stuck to his agenda: a speech to the Cuban people and a baseball game.",459,63,62,47,755
Donald Trump threatens Ted Cruz's wife,"Donald J. Trump said Ted Cruz should 'be careful' or he would 'spill the beans' on his wife, Heidi Cruz.",74,466,600,69,375
Trump flouts political convention in response to Brussels attacks,"Donald J. Trump ditched the classic political script, offering a bleak assessment after the #BrusselsAttacks.",41,9,9,8,162
"Clinton calls for more surveillance, police after Brussels attacks","Hillary Clinton says the United States must increase its surveillance to avert #Brussels-style attacks on unprotected 'soft' targets. #BrusselsAttacks",109,11,31,11,327
Bernie Sanders will win the Utah Democratic caucuses,"BREAKING: CNN projects Bernie Sanders will win the Utah Democratic caucuses #WesternTuesday",1243,45,44,23,80
Sanders: Arizonans waiting 5 hours to vote is 'a disgrace',Bernie Sanders says it 'is a disgrace' that some Arizona voters waited in line for five hours to vote.,58,135,30,53,557
Clinton: Trump win would be like Christmas for the Kremlin,"If Donald J. Trump 'gets his way, it will be like Christmas in the Kremlin,' says Hillary Clinton",113,13,259,9,59
John Kasich lost to Marco Rubio's ghost in Arizona,"It was a three-man race, and John Kasich came in fourth. #WesternTuesday",29,76,793,27,7
Trump fashion model to take immigration case to U.S. government,"She alleges that Trump Model Management recruits foreign models under the H-1B visa program with promises of wages that never materialize, and defrauds the U.S. government on visa applications.",130,634,627,21,188
David Letterman's new retirement look,"It's been 10 months since David Letterman did his farewell show, and some say he looks a little different.",259,1638,385,30,11
Disney threatens to stop filming in Georgia if 'anti-LGBT' bill is enacted,Disney -- along with its Marvel Studios -- is saying they will halt film and television production in Georgia if the bill is signed into law.,1628,278,65,16,83
"A border first: Smugglers buy U.S. land and build house to hide tunnel, feds say","Drug traffickers allegedly bought U.S. property for the sole purpose of building a house to conceal the end of a 415-yard smuggling tunnel from Mexico, authorities said.",17,329,74,7,163
North Carolina Legislature passes controversial transgender bill,The bill blocks cities from allowing transgender individuals to use public bathrooms for the sex they identify as.,136,24,16,69,531
Alabama governor denies sexual affair despite explicit recordings,"'When I stand behind you, and I put my arms around you, and I put my hands on your...'",6,87,199,12,29
Two students convicted for London terror plot,"The two were convicted of conspiring to commit a terrorist murder in support of #ISIS.",12,34,9,16,289
Paris attack suspect no longer cooperating with Belgian police,"BREAKING NEWS: Paris attack suspect Salah Abdeslam is no longer cooperating with Belgian police and wants to be extradited to France as soon as possible, his lawyer says. Abdeslam was captured in Molenbeek, a suburb of Brussels, last Friday.",9,34,12,21,517
How $67 million failed to stop Trump,More than $67 million has been spent on tens of thousands of television advertisements critical of Donald J. Trump. Most of it has come from his fellow Republicans.,37,41,375,22,129
Giuliani: Hillary Clinton 'could be considered a founding member of ISIS','She had her chance to (rally people against ISIS) -- she helped create ISIS. Hillary Clinton could be considered a founding member of ISIS.'Rudy Giuliani delivered some sharp criticism of Hillary Clinton this week,148,194,480,27,512
CNN/ORC poll: Clinton tops Trump on presidential traits,Voters think Hillary Clinton would most likely win in the November election in a hypothetical match-up against Donald J. Trump.,902,38,177,24,541
Arizona restaurant owner faces backlash after appearing onstage with Donald Trump,This Mexican immigrant is facing a backlash after being photographed with Donald J. Trump. Angry online commenters and callers threatened her and her restaurant.,41,98,453,109,441
"Radovan Karadzic found guilty of genocide, sentenced to 40 years","BREAKING: 'Butcher of Bosnia' Radovan Karadzic has been found guilty of genocide, sentenced to 40 years",150,43,31,20,253
When a surgeon should just say 'I'm sorry',"This patient is suing not because doctors removed the wrong body part, but because she says she never heard 'I'm sorry.'",20,201,31,50,185
Cruz on Trump's attacks on his wife: 'Leave Heidi the hell alone',"'[Donald J. Trump], you're a sniveling coward and leave Heidi the hell alone,' Ted Cruz told reporters.",100,28,370,12,49
Comedian Garry Shandling dead at 66,"Garry Shandling, inventive star of groundbreaking TV shows including 'The Larry Sanders Show,' has died.",31,491,8,3334,7
Japan kills 333 minke whales,"Japan's whaling fleet has returned with more than 300 whales harvested from Antarctic waters, according to the country's Fisheries Agency.",16,42,11,993,2609
Donald Trump's history of controversy with women,Donald J. Trump's tweets about Ted Cruz's wife are the latest -- and perhaps most provocative -- salvo in a string of messy dust-ups.,11,23,77,15,237
Arizona Democrats call for probe into voter suppression claims,"Arizona Democrats are calling for The United States Department of Justice to investigate why voters had to wait 5 hours in line.Governor Doug Ducey, a Republican, called Tuesday's primary situation 'unacceptable.'",64,15,14,11,172
Feds: Flight attendant left 68 pounds of cocaine at LAX,Authorities allege she dropped two cocaine-filled carry-on bags and kicked off shoes said to be Gucci heels before fleeing.,13,104,112,7,6
Not guilty sex assault verdict causes storm,Jian Ghomeshi was cleared of all charges in the first of two sexual assault trials that Canadians are closely watching.,10,15,8,6,60
"Filipinos crucified, whipped on Good Friday",Graphic photos: Some devout Catholics in the Philippines will show their faith this Easter weekend with crucifixions and self-flagellation.,60,227,138,59,42
"Can Trump get to 1,237 delegates?",Ted Cruz  and John Kasich will need a political earthquake to slow Donald J. Trump.,99,15,82,15,53
N. Korea tests artillery in 'imaginary' strike on S. Korean leader's residence,"Instead of firing on a real target, the North Koreans fired the artillery at 'imaginary' targets -- including the official residence of the South Korean President.",10,19,115,16,121
Caitlyn Jenner softens her tone on Clinton,Caitlyn Jenner softened her tone on Democratic presidential front-runner Hillary Clinton after calling her a 'f---ing liar.',20,21,151,6,115
Woman's home demolished after Google Maps error,A demolition crew destroyed her building by mistake after Google Maps provided wrong directions.,10,769,362,136,124
Microsoft 'deeply sorry' for chat bot Tay's racist tweets,"In less than 24 hours, Tay began to tweet things like 'Hitler was right I hate the jews.'",11,62,198,16,21
Ted Cruz blames Donald Trump and his 'henchmen' for tabloid story,Ted Cruz is accusing Donald J. Trump 'and his henchmen' of smearing him with a tabloid story that Cruz called 'garbage' and 'complete and utter lies.',15,10,161,11,35
"At least 25 dead in Iraqi soccer stadium suicide attack, officials say","A man wearing a suicide belt walked into a Iraqi soccer stadium and blew himself up, according to security officials.",9,97,12,2270,1229
9 face murder charges in recorded after-school brawl in Georgia,"A two-minute cell phone video captures the chaos of the fight as others join the fray -- many wielding bats, pipes and fists.",9,195,10,286,109
Wolves slaughter 19 elk in 'sport killing',"In an apparent case of 'sport killing,' a pack of wolves slaughtered a herd of elk in one night, Wyoming wildlife officials said.",29,260,34,166,100
Mariah Carey cancels Brussels concert,Mariah Carey is canceling her Brussels concert over security concerns following this week's terror attacks in the Belgian capital.,13,44,16,97,21
When a surgeon should just say 'I'm sorry',"This patient is suing not because doctors removed the wrong body part, but because she says she never heard 'I'm sorry.'",19,117,41,31,28
CNN projects Bernie Sanders will win Alaska,"#Breaking: CNN projects Bernie Sanders will win the Alaska Democratic caucuses. For live updates: cnn.it/liveblog",2276,91,89,28,175
CNN projects Bernie Sanders will win Washington,"#Breaking: CNN projects Bernie Sanders will win the Washington state Democratic caucuses. For live election results: cnn.com/election",2032,174,46,36,90
Takeaways from Western Saturday,"Bernie Sanders wins by massive margins in Alaska and Washington on #WesternSaturday, which he says will propel his momentum going into the April contests. Here are five takeaways from Saturday's contests:",1162,94,38,13,48
Former Charlie Sheen ‘goddess’ breaks her silence,Former adult film star Bree Olson has a message for young girls: Don't get into porn.,70,45,159,221,11
State media: Syrian forces capture Palmyra from ISIS,ISIS militants had seized control of the city -- home to a UNESCO World Heritage site -- in May and demolished many of the ancient ruins there.,89,21,6,23,114
At least 5 dead in Pakistan blast,"UPDATE: Today's suicide blast in Pakistan's southwestern city of Lahore has killed at least 63 people, a health official told CNN.",9,40,7,2047,769
Donald Trump's history of controversy with women,Donald J. Trump's tweets about Ted Cruz's wife are the latest -- and perhaps most provocative -- salvo in a string of messy dust-ups.,8,6,12,11,97
Ivanka Trump announces the birth of her third child,Meet the newest member of the Trump family.,246,27,53,39,350
Parents ruined this PEZ Easter egg hunt,"Thanks a lot, Mom and Dad.",10,83,65,258,619
(Opinion) Donald Trump's bizarre war on women,' Donald J. Trump's threat to 'spill the beans' on Heidi Cruz set off an unseemly controversy over issues that have nothing to do with being president' writes Tara Setmayer for CNN Opinion .,15,17,91,20,288
North Carolina governor sued over transgender law,A federal lawsuit filed Monday asks a judge to declare the law unconstitutional.,192,21,26,9,95
'Walking Dead' star: 'Be worried about Daryl',"'That episode is the most hardcore episode you've ever seen on the show. Ever,' said The Walking Dead's Norman Reedus.",31,346,12,477,61
Donald Trump was a nightmare landlord in the 1980s,"Leaks, rats and bitter cold: This episode from Donald J. Trump's past shows just how far this billionaire businessman will go to get his way.",25,78,169,32,437
Georgia governor to veto 'religious liberty' bill,Just in: Georgia Governor Nathan Deal says he will veto a bill that critics say would have curtailed the rights of Georgia's LGBT community.,741,24,17,31,171
Donald Trump reveals when he thinks America was great,This is the decade when Donald J. Trump thinks America was great.,31,18,143,8,120
Fidel Castro blasts Obama's trip: Cuba doesn't need 'empire' for anything,At least one prominent figure is lambasting U.S. President Barack Obama's visit to Cuba.,44,54,348,18,162
Clinton camp: NY debate depends on Sanders' 'tone',"Bernie Sanders 'doesn't get to decide when we debate, particularly when he's running a negative campaign against us,' said Hillary Clinton's top strategist.",67,47,693,14,392
Secret Service: No guns inside GOP convention,"Despite a petition with almost 45,000 signatures...",105,21,387,20,28
"Capitol shooting suspect in custody, lockdown lifted","UPDATE:- The U.S. Capitol was on lockdown following reports of shots fired.- Male suspect was shot at the U.S. Capitol complex by U.S. Capitol Police, now in custody.- Suspect identified as Larry Russell Dawson, 66, of Tennessee, sources say.- A female civilian bystander was injured by shrapnel, but no U.S. Capitol Police officers have been injured.- White House was also briefly locked down after what appears to be an unrelated incident.––BREAKING: The U.S. Capitol and White House are on lockdown following reports of shots fired near the Capitol.",19,1402,56,587,195
FBI says it has cracked terrorist's iPhone without Apple's help,"The United States Department of Justice has dropped its case against Apple, saying the FBI – Federal Bureau of Investigation has accessed the iPhone of one of the gunmen in the San Bernardino shooting.",68,195,344,8,51
"The Obamas' final Easter Egg Roll, in GIFs","Michelle Obama whipped and nae nae'd at The White House's #EasterEggRoll. President Obama ... made it very clear that he is a dad.",253,9,54,10,11
Women for Trump: Supporters stand firm despite outbursts,"For this group of Arizona women, Donald J. Trump's strength trumps all.",111,19,39,36,205
Four-year-old girl beheaded in front of mother,A man suddenly attacked the girl with a cleaver as she rode her bicycle.,22,221,7,5673,5125
What we've learned about Trump's world view,Donald J. Trump has already upended American politics. Now he might do the same to the rest of the world.,25,10,19,11,129
'Prison Break' star responds to body-shaming: 'I was suicidal',Wentworth Miller had a poignant comeback after he became the subject of a meme because of his weight gain.,573,52,9,582,17
Trump campaign manager charged with simple battery,"Just in: Donald J. Trump's presidential campaign manager Corey Lewandowski has been charged with simple battery, according to police documents.",175,68,580,10,58
Utah passes 'fetal pain' abortion law requiring anesthesia,Utah will now require doctors to provide anesthesia to women having abortions at 20 weeks of pregnancy or later. The law is based on the scientifically disputed notion that a fetus can feel pain during the procedure.,20,35,11,185,266
Susan Sarandon: Donald Trump more likely to bring 'revolution' than Clinton,"'Some people feel that (Donald J. Trump) will bring the revolution immediately, if he gets in. Then things will really, you know, explode,' Susan Sarandon said, referring to the political 'revolution' Bernie Sanders talks about in his run against Hillary Clinton.",66,52,45,8,218
"Woman boarded plane with no ID, officials say","She was able to bypass security and board a plane without showing an ID or boarding pass, according to officials.",8,230,41,8,231
Ted Cruz: Trump team planted National Enquirer sex scandal story,"Ted Cruz accused Donald J. Trump's allies of conspiring to publish a National Enquirer story alleging the Texas senator had multiple affairs with unnamed women. #GOPTownHall",7,20,138,10,28
Uncomfortable encounters have begun under North Carolina's new bathroom law,"Charlotte resident Charlie Comero even printed cards to hand out. They read, in part, 'I am a transgender man who would rather be using the men's room right now. This is likely uncomfortable for both of us.'",12,28,29,189,205
20-year-old woman pleads guilty on charge that she tried to join ISIS,Her fiance also pleaded guilty earlier this month. The two were arrested at a Mississippi airport in February.,13,127,55,37,385
It's time to talk about 'black privilege',Those who believe in the concept have a new message to blacks complaining about racism: You don't know how good you have it. It's called 'black privilege.',149,92,461,18,148
Stricken ex-beauty queen emotionally thanks Trump,Donald J. Trump says this was the most beautiful moment he's had on the campaign trail.,98,6,14,10,61
Halle Berry debuts topless on Instagram,"It took Halle Berry a minute to join social media, but she's more than made up for it.",76,59,15,7,8
"The #hijackselfie that wasn't a selfie","Was the #HijackSelfie really a selfie?",14,72,205,8,31
"Food stamps don't cover diapers, so one mom did this - CNN.com","Nearly 30% of parents in the United States cannot afford diapers, which can cost up to $100 every month per baby. And it is an expense not covered by food stamps.",307,53,14,145,31
Super-rich Saudi arrives in London with fleet of gold cars,The four cars are believed to be the personal fleet of a visiting young Saudi man.,270,1626,287,62,833
Obamacare patients sicker and pricier than expected,"Patients in Obamacare are sicker and need significantly more medical care than those in employer-sponsored plans, according to a new report.",10,117,179,27,75
North Carolina's new bathroom law: Uncomfortable encounters have begun,"This North Carolina bill is creating some unexpected bathroom encounters, despite its stated 'common sense' intention.",8,8,6,21,38
William Shatner hit with $170 million paternity suit,William Shatner is being sued for $170 million by a Florida-based radio host who claims that the Star Trek actor is his father.,10,184,231,10,20
Border Patrol union endorses Donald Trump,The National Border Patrol Council has endorsed Donald J. Trump's presidential campaign.,251,57,107,42,494
Trump: Women who have abortions should be punished,"UPDATE: In a new statement, Trump said the doctor would be held legally responsible, not the woman.-------------Donald J. Trump says that women who undergo abortions should face 'some form of punishment' if the procedure were outlawed.",183,482,138,87,3612
"Police: Teen was pepper sprayed, assaulted at Donald Trump rally in Wisconsin","A 15-year-old girl was pepper sprayed and said she was groped during a protest outside Donald J. Trump's rally in Janesville, Wisconsin, according to local police.",18,147,74,72,894
Donald Trump's 3 positions on abortion in 3 hours,"Donald J. Trump sought to clarify, walk back, then seemingly reverse his position on punishing women who seek abortion procedures -- should they be banned.",21,61,522,22,411
Ben Carson defends Donald Trump's abortion answer,"Dr. Ben Carson on Donald J. Trump's comments: 'I don't believe that he was warned that that question was coming, and I don't think he really had a chance to really think about it.'",63,68,408,30,449
Whoopi Goldberg launches weed startup for women,Whoopi Goldberg is getting into the weed business as cofounder of a marijuana startup seeking to provide relief during *that* time of the month.,1009,262,149,11,48
Designers picture skylines of the future,Could our cities look like this one day?,37,122,9,152,30
Mohawk the lion shot to death in Kenya,The lion pounced on a man shortly after it escaped from a park in Nairobi.,8,48,18,553,396
"Poll: Clinton, Trump up big in New York",New York looks set to deliver Hillary Clinton and Donald J. Trump big primary victories on April 19: http://cnn.it/1PHmlsk,107,11,22,13,169
Ted Cruz jokes about running over Donald Trump on 'Jimmy Kimmel Live',"'If I were in my car and getting ready to reverse and saw [Donald J. Trump] in the backup camera, I'm not confident which pedal I'd push,' joked Ted Cruz.",119,80,942,21,87
"Ice melt could make seas rise 6 feet by 2100, new study says","It's the second study this week to make a dire prediction about rising sea levels due to melting ice, specifically in Antarctica and other parts of the world.",9,227,34,289,36
Kasich's pizza-gate in NY: He used a fork!,Good move: John Kasich had pizza in New York. Bad move: He ate it with a fork.,32,223,1133,30,78
Planned Parenthood: Trump's comments reflect entire GOP,"'A plan to punish women who seek abortion is not news, it is the platform of the Republican Party,' said a top Planned Parenthood official, following comments from Donald J. Trump.",16,16,46,22,200
Dear women who love Trump: Ditch this guy (via CNN Opinion),'Normally I wouldn't say a thing. It's really none of my business who you like and why you like him.' Mel Robbins writes a letter to women who love Donald J. Trump for CNN Opinion.,235,19,99,10,299
Abortion and 10 other Donald Trump flip-flops,"Nuclear proliferation, the Iraq War, abortion, and 7 other issues Donald J. Trump has flip-flopped on.",14,21,201,6,132
Japan and South Korea hit back at Donald Trump's nuclear comments,Donald J. Trump suggested the possibility of South Korea and Japan obtaining nuclear arms to 'protect themselves or they have to pay us.'These comments raised some concerns...,22,85,304,36,477
"Lasers could hide Earth from deadly aliens, 2 astronomers say",Two astronomers are proposing we use lasers to hide Earth ,29,190,455,6,8
Clinton to climate activist: 'I'm so sick of the Sanders campaign lying about me',"While being confronted by a climate activist about accepting donations from the fossil fuel industry, Hillary Clinton angrily accused Bernie Sanders' campaign of 'lying' about her.",75,32,646,14,265
"Pew survey: Donald Trump has had too much media coverage, 75% of Americans say","Three out of every four Americans believe the media has given too much coverage to Donald Trump, a new Pew survey says.",153,30,108,25,362
California is the first state to approve a $15 minimum wage,'No one who is working full time in California should live in poverty due to a low wage.',576,246,56,13,104
"Oil rig worker says she was secretly recorded, files $1 million lawsuit",She says her nude body was recorded for days.,11,86,9,29,221
Police union hires officer charged in Laquan McDonald's killing,Activists in Chicago are furious after the police union there said it gave the officer who shot 17-year-old Laquan McDonald a job.,10,51,17,15,218
ISIS leader's ex-wife wants new life in Europe,She was married to the most wanted man in the world.,17,63,207,40,275
New goal: US women's soccer wants equal pay,"The U.S. women's soccer team is more successful than the men's team, brings in more money -- and gets paid far less.",177,33,26,21,302
"Obama pledge to take 10,000 Syrians behind schedule","So far, only about 1,300 Syrian refugees -- or some 13% -- have been admitted into the U.S.",31,13,16,157,179
Bernie Sanders on abortion comments: Clinton took 'things out of context',Bernie Sanders: 'What [Hillary Clinton] did is take things out of context... I've been spending my political life fighting for the right of women to control her own body.',140,10,58,6,22
Grieving father pleads with Apple to unlock his dead son's iPhone,This father is pleading with Tim Cook to help him see the photos stored on his dead son's iPhone.,56,13,14,590,12
Hillary Clinton wants to bring 'sexy' back for manufacturing,"'Gotta make it sexy. I agree with that,' Hillary Clinton said to laughs.",40,6,56,6,14
Eww! Airplane ponytail incident goes viral,"'Congrats ... You've invented a whole new way to be awful at 35,000 feet.'",19,82,477,14,221
Donald Trump says federal laws should not be changed to outlaw abortion,"'At this moment the laws are set. And I think we have to leave it that way,' Donald J. Trump said, changing his position yet again.Soon after the comments became public, Trump's campaign issued a statement to clarify the candidate's position.",11,36,384,7,156
Obama: Trump 'doesn't know much about foreign policy',President Obama said Donald J. Trump's suggestion that Japan and South Korea should consider obtaining nuclear weapons is a sign he 'doesn't know much' about such issues.,354,32,426,9,57
Sanders: Clinton owes me an apology,"In an unusually direct move, Sen. Bernie Sanders called on Hillary Clinton to apologize to him for saying that his campaign is lying about her relationship with fossil fuel money. Should she apologize? Who's telling the truth?",339,32,257,7,71
Uncomfortable encounters have begun under North Carolina's new bathroom law,"Charlotte resident Charlie Comero even printed cards to hand out. They read, in part, 'I am a transgender man who would rather be using the men's room right now. This is likely uncomfortable for both of us.'",8,25,47,23,91
"Kids form huge human arrow, guide police to suspect","A group of kids hunting Easter eggs in a village near London realized a police pursuit was going on near them, they formed a human arrow on the ground to point a police helicopter toward the two men they saw racing across the field. The burglary suspects were arrested.",2501,3215,714,12,6
Eww! Airplane ponytail incident goes viral,"'Congrats ... You've invented a whole new way to be awful at 35,000 feet.'",6,21,156,7,96
Soccer star Abby Wambach charged with DUI,"American soccer star Abby Wambach, who recently retired, was arrested early Sunday on a driving under the influence charge in Portland, Oregon.",16,257,128,298,56
North Dakota delegate hunt looks good for Cruz,"North Dakota Republicans selected 25 national delegates, with results that looked good for Sen. Ted Cruz. http://cnn.it/1M91bsz",21,7,41,14,80
Greece sends first migrants back to Turkey,Ferries carrying hundreds of migrants have left Greece's shores and headed for Turkey under a new controversial deal with the EU.,51,9,20,74,15
'Walking Dead' finale: Who Did Negan kill?,AMC's The Walking Dead wrapped its sixth season Sunday with a finale that paid tribute to the comic's landmark (and shocking) 100th issue.,104,142,10,59,75
Trump tweets video showing violent protests,"Donald J. Trump just tweeted a video that features clips of anti-Trump protests, violence and a bloodied police officer before a dramatic narration intones: 'We're at war.'",17,35,141,23,274
Abby Wambach's arrest for a crime that makes no sense (Opinion),"Via CNN Opinion: 'Let's face it, our government, along with the nightlife and alcohol industry, only pretends to abhor drinking and driving.'",12,17,45,27,71
Fact-checking Donald Trump's latest claim: He'll fix the debt in 8 years,"Donald J. Trump says America is on the verge of a 'very massive recession,” but he can save the economy and get America out of debt. Here's what experts say.",51,32,719,9,167
Villanova beats UNC at the buzzer to take NCAA title,"In a nail biter, Villanova Basketball upended the No. 1 North Carolina Tar Heels 77-74 with a last-second three-pointer to take the #NationalChampionship title in the NCAA men's basketball tournament.",76,64,7,10,10
"Sikh U.S. Army captain allowed to wear beard, turban in uniform",He's the first active duty U.S. soldier to be given such permission.,2514,728,61,43,483
"Poll: Voters feel 'under attack,' leaders 'don't care'","Seven months ahead of the 2016 election, Americans are anxious and deeply dissatisfied.",15,14,13,59,34
Trump outlines plan to get Mexico to pay for border wall,Here's how Donald J. Trump intends to get Mexico to pay for a border wall.,125,33,873,10,402
Sanders campaign: Clinton not 'sincere' on minimum wage,Bernie Sanders' campaign is accusing rival Hillary Clinton of not being 'sincere' in regard to this issue.,55,9,21,8,80
Blac Chyna says 'yes' to Rob Kardashian,It appears that congratulations are in order for Rob Kardashian and Blac Chyna.,162,41,240,6,47
Panama Papers fallout: Iceland's prime minister resigns,"BREAKING: Icelandic Prime Minister Sigmundur David Gunnlaugsson has resigned, according to the deputy chair of Iceland's Progressive Party. He was under fire after leaked documents known as the Panama Papers revealed ties to offshore company.",56,311,156,6,17
Mississippi passes religious freedom bill that LGBT groups call discriminatory,"Watchdog groups say the bill is discriminatory against the LGBT community, while proponents say it's intended only to protect those with strongly held religious beliefs.",85,6,20,44,400
Hillary Clinton: Anti-abortion women can still be feminists,"'Absolutely,' Hillary Clinton said. 'Of course you can be a feminist and be pro-life.'",67,11,89,7,43
"Megyn Kelly, keeping 'options open,' says she might not stay at Fox News","'I don't know what's going to happen,' Megyn Kelly said.",94,37,178,9,11
North Carolina loses 400 jobs as PayPal pulls facility,North Carolina's 'bathroom bill' just cost the state 400 future jobs. Here's why.,577,74,288,44,76
Sanders feeling media heat after new interview,This Bernie Sanders interview did not go as planned...,51,64,373,20,284
"Porsche not liable for Paul Walker's death, says judge",A federal judge ruled that Porsche is not at fault for the 2013 crash that killed Paul Walker.,34,36,87,224,23
GMU renames Antonin Scalia School of Law due to acronym,George Mason University realized their new law school name created a ... problematic acronym.,129,34,2498,8,6
"Wisconsin primary: Cruz wins, CNN projects","#Breaking: Ted Cruz will win the Wisconsin Republican primary, CNN projects.",148,27,68,48,313
"Wisconsin primary: Sanders wins, CNN projects","#Breaking: Bernie Sanders will win the Wisconsin Democratic primary, CNN projects.",2668,223,68,58,155
GOP congressman: Voter ID law will help Republican presidential candidate,"Democrats immediately jumped on the remark, citing it as confirmation of their suspicions that voter ID laws pushed by the GOP are aimed at suppressing turnout.",10,32,13,8,152
Janet Jackson postpones tour for family planning,"'My husband and I are planning our family, so I'm going to have to delay the tour,' Janet Jackson said.",152,95,36,7,24
President Obama to appear on Fox News for first since time since 2014,"For the first time in more than two years, President Barack Obama is granting an interview to the Fox News Channel.",28,173,115,9,25
Kerry Washington doesn't recognize herself on AdWeek's cover,"Kerry Washington is calling attention to the scandalous retouching job she says this magazine did for its latest cover, which features the Scandal star.",12,61,12,11,78
"Texas man accused of killing boy, drinking his blood to be executed","UPDATE: Pablo Vasquez apologized to the family of the victim before he was put to death.He reportedly told police he killed a 12-year-old boy, drank his blood and tried to decapitate him. He's set to be executed tonight.",51,105,36,196,420
Bernie Sanders: Hillary Clinton is not 'qualified' to be president,There's been an escalation in rhetoric between Hillary Clinton and Bernie Sanders.,374,47,147,23,369
Ivanka Trump scarves recalled over 'burn risk',"About 20,000 Chinese-made Ivanka Trump scarves have been recalled.",6,15,208,6,35
Video shows San Antonio school police officer body-slamming student,"'She wasn't moving. She was just knocked out. I wanted answers, and nobody could give me answers.'",33,184,64,75,897
Teen actors' necks slit in school production of 'Sweeney Todd',This high school production of a musical about a murderous barber had a disastrous opening night.,11,473,38,152,18
